SiteTag,SampleDate,Metric1_TRC,Metric2_VCS,Metric3_VCQ,Metric4_AGNR,Metric5_RVW,Metric6_RSCVC,Metric7_MHPR,Metric81_hymod,Metric_82_hymod,Metric8_final,Idx_Score,D_lat,D_long
304APS,6/23/14,100,100,100,100,100,75,100,75,100,87.5,95.3125,37.001405,-121.906196
304APT,6/6/17,75,100,0,50,25,37.5,75,100,0,50,51.5625,36.973565,-121.903821
304APT,7/19/18,75,100,0,25,25,37.5,75,75,50,62.5,50,36.973556,-121.903872
304ARA,1/11/16,75,100,50,50,62.5,87.5,75,50,87.5,68.75,71.09375,36.983631,-121.994659
304BEP,1/21/16,75,100,75,75,50,37.5,100,50,100,75,73.4375,37.12644,-122.12422
304BH9,1/21/16,75,100,0,50,62.5,62.5,100,75,100,87.5,67.1875,37.12648,-122.12279
304BRA,6/27/14,0,80,60,50,37.5,25,75,50,75,62.5,48.75,36.986193,-122.014298
304GAZ,7/28/17,75,100,50,50,62.5,87.5,75,75,100,87.5,73.4375,37.166127,-122.360703
304GAZ,7/19/18,100,100,25,50,37.5,87.5,75,100,75,87.5,70.3125,37.166082,-122.360807
304GZR,7/28/17,100,100,100,75,62.5,87.5,100,100,87.5,93.75,89.84375,37.17931,-122.35193
304LOR,3/23/17,0,50,0,50,25,75,75,100,75,87.5,45.3125,36.969944,-122.02295
304LOR,7/13/18,0,0,0,25,25,75,50,0,75,37.5,26.5625,36.969989,-122.022769
304RIV,4/27/17,75,100,0,50,50,62.5,50,25,75,50,54.6875,36.990995,-122.031426
304RIV,5/12/16,75,100,0,100,75,75,75,100,100,100,75,36.991137,-122.031681
304SCM,5/29/15,100,100,100,75,100,100,100,100,100,100,96.875,37.10488,-122.251582
304SCO,7/28/17,100,100,25,100,100,75,25,100,100,100,78.125,37.040612,-122.22885
304SCO,7/19/18,100,100,25,75,75,75,50,100,75,87.5,73.4375,37.040693,-122.229044
304SL9,6/18/14,60,100,60,25,37.5,50,100,25,75,50,60.3125,37.088112,-122.088608
304SLB,12/18/15,100,100,100,75,100,100,100,50,100,75,93.75,37.04409,122.07214
304SLE,1/14/16,75,100,100,100,75,50,100,75,100,87.5,85.9375,37.12845,-122.12187
304SOK,4/14/15,100,75,75,50,75,75,100,100,100,100,81.25,36.979691,-121.957352
304SOK,7/13/18,75,100,75,50,50,87.5,75,50,100,75,73.4375,36.979772,-121.957498
304SOU,5/28/15,25,75,100,75,87.5,87.5,100,100,100,100,81.25,37.040584,-121.94163
304SVC,5/1/15,100,100,75,75,100,100,100,100,100,100,93.75,37.017874,-122.186955
304VAL,1/21/16,75,100,50,25,75,100,75,25,100,62.5,70.3125,36.97611,-121.89787
304WAD,7/19/18,100,100,100,75,67.5,50,50,100,75,87.5,78.75,37.096403,-122.278073
304ZAY,5/1/15,0,100,75,75,50,75,100,75,100,87.5,70.3125,37.050235,-122.064898
305BRI,10/21/14,60,20,0,0,25,75,50,100,50,75,38.125,36.614242,-121.211801
305BRS,7/25/17,0,0,0,25,0,50,25,0,50,25,15.625,36.86978,-121.81516
305CHI,7/31/17,100,100,50,75,75,75,75,100,100,100,81.25,36.899518,-121.59935
305COR,6/15/17,75,50,0,25,25,37.5,25,100,50,75,39.0625,36.91274,-121.745128
305COR2,4/21/15,100,25,50,75,75,62.5,100,75,100,87.5,71.875,36.989116,-121.80259
305FRA,7/6/17,0,75,0,25,0,25,25,0,50,25,21.875,36.963509,-121.49189
305FUF,7/6/17,0,75,0,25,62.5,25,25,0,50,25,29.6875,36.977538,-121.510053
305LCS,7/25/17,75,100,100,100,12.5,100,75,100,50,75,79.6875,36.990556,-121.531843
305LEA,7/25/17,0,75,0,25,50,25,25,0,100,50,31.25,37.03149,-121.543384
305LLA,7/25/17,75,100,25,50,25,50,75,100,25,62.5,57.8125,36.976251,-121.512345
305MUR,7/1/14,0,40,0,25,50,75,100,50,50,50,42.5,36.905847,-121.676708
305PAC,7/26/17,75,100,50,75,75,75,75,100,100,100,78.125,36.943887,-121.38488
305PAJ,5/4/17,75,100,75,50,62.5,62.5,50,25,100,62.5,67.1875,36.916561,-121.549843
305PJP,10/23/15,0,50,0,25,37.5,12.5,50,50,25,37.5,26.5625,36.905333,-121.751181
305SAN,7/31/17,75,100,75,50,75,50,75,50,100,75,71.875,36.8858552,-121.5540752
305SJN,7/21/17,75,25,0,25,12.5,50,50,0,50,25,32.8125,36.875459,-121.561359
305THU,4/12/17,75,100,25,75,50,75,25,100,50,75,62.5,36.87996,-121.793102
305THU,7/19/18,75,100,50,50,25,100,50,100,50,75,65.625,36.880017,-121.793131
305TRE,10/21/14,0,40,20,50,62.5,75,75,100,100,100,52.8125,36.788543,-121.359735
305TSR,7/26/17,75,100,50,50,12.5,87.5,50,100,87.5,93.75,64.84375,36.942843,-121.444479
305UVA,7/26/17,75,100,0,100,0,100,75,100,100,100,68.75,36.965187,-121.532032
305WSA ,4/6/17,0,75,0,0,37.5,37.5,50,100,50,75,34.375,36.889936,-121.802431
306CAR,7/11/18,0,0,0,25,37.5,75,25,0,100,50,26.5625,36.860038,-121.740058
306WAC,7/25/17,75,100,0,50,50,75,75,100,100,100,65.625,36.876295,-121.745866
306WAC,7/11/18,0,0,0,25,25,75,25,25,50,37.5,23.4375,36.87216,-121.745493
306WAC,10/23/15,0,0,0,0,0,37.5,25,25,25,25,10.9375,36.874827,-121.745257
307CMD,11/2/15,75,100,75,75,75,75,75,100,100,100,81.25,36.52517,-121.83123
307CML,11/12/14,60,100,40,50,62.5,75,75,75,50,62.5,65.625,36.536252,-121.912417
307CML,7/20/18,75,100,50,50,50,87.5,75,50,100,75,70.3125,36.536226,-121.9124
307CMN,11/10/15,100,100,75,100,87.5,87.5,100,100,100,100,93.75,36.39857,-121.66195
307CMU,4/27/15,100,100,50,75,62.5,50,100,50,100,75,76.5625,36.47437,-121.728416
307TUL,11/10/15,100,25,75,100,100,100,50,50,50,50,75,36.4465,-121.68221
308BGC,8/23/14,80,100,100,100,62.5,75,100,100,100,100,89.6875,36.071118,-121.599152
308BGC,6/16/18,100,100,75,50,75,75,75,100,75,87.5,79.6875,36.070025,-121.599802
308BSR,7/20/18,100,100,75,100,75,100,100,100,100,100,93.75,36.287875,-121.844874
308LSR,5/21/18,25,25,25,50,62.5,87.5,75,100,100,100,56.25,36.332598,-121.885252
308LSU,10/31/14,100,100,100,75,100,75,100,100,100,100,93.75,36.329706,-121.862311
308SJC,4/27/15,100,75,50,75,87.5,100,100,100,100,100,85.9375,36.52197,-121.92498
308WLO,5/21/18,100,100,50,50,87.5,100,75,100,100,100,82.8125,35.89373,-121.46053
309ALD,7/12/18,0,0,0,0,12.5,25,25,0,75,37.5,12.5,36.690348,-121.680545
309ALG,7/21/17,0,0,0,25,0,25,25,0,50,25,12.5,36.655867,-121.613387
309ALU,7/21/17,0,0,0,25,37.5,50,25,0,50,25,20.3125,36.661323,-121.620294
309ALU,7/23/18,0,0,0,0,0,37.5,25,0,50,25,10.9375,36.661976,-121.621478
309ANT,5/8/18,75,25,0,75,100,100,75,100,100,100,68.75,35.896507,-121.088815
309ASB,7/13/17,75,0,0,25,25,25,25,0,100,50,28.125,36.724751,-121.729614
309BLA,12/8/17,0,0,0,0,0,25,25,0,50,25,9.375,36.709769,-121.744707
309DAV,7/13/17,75,100,25,100,25,87.5,50,50,100,75,67.1875,36.64680598,-121.701385
309DAV,5/14/18,0,100,0,50,25,100,50,0,50,25,43.75,36.646327,-121.701911
309GAB,7/21/17,0,50,0,75,50,62.5,75,50,50,50,45.3125,36.692234,-121.62918
309GAB,7/23/18,0,100,0,50,25,75,25,25,75,50,40.625,36.713488,-121.617901
309GRN,7/26/18,0,25,0,50,50,75,50,75,100,87.5,42.1875,36.337799,-121.204941
309JON,7/13/17,0,0,0,25,0,25,25,0,100,50,15.625,36.70247,-121.70868
309LOR,6/5/15,75,0,0,25,100,75,75,100,100,100,56.25,36.267825,-121.072731
309MER,7/14/17,0,0,0,25,25,25,25,0,100,50,18.75,36.751646,-121.741805
309MOR,7/10/17,0,25,0,50,62.5,50,25,100,100,100,39.0625,36.796173,-121.783227
309NAD,7/25/17,75,50,0,25,37.5,50,50,0,50,25,39.0625,36.702608,-121.601965
309NAF,5/9/18,100,100,100,75,75,75,100,100,100,100,90.625,36.01425,-121.41193
309OLD,7/10/17,0,0,0,25,25,25,50,0,50,25,18.75,36.77229098,-121.787855
309OLD,7/11/18,0,0,0,0,12.5,25,25,0,50,25,10.9375,36.771617,-121.790038
309PSO,9/18/14,60,60,0,75,25,75,50,50,100,75,52.5,35.628469,-120.684553
309QUA,7/21/17,0,0,0,25,0,25,25,0,50,25,12.5,36.611357,-121.548743
309QUA,7/23/18,0,0,0,0,0,75,25,0,50,25,15.625,36.610899,-121.549434
309RTA,7/2/14,0,20,0,0,12.5,0,50,50,50,50,16.5625,36.725867,-121.649679
309RTA,7/21/17,0,0,0,0,25,25,25,25,25,25,12.5,36.724786,-121.653055
309RTA,7/23/18,0,0,0,25,12.5,12.5,25,75,100,87.5,20.3125,36.725913,-121.649645
309SAC,9/9/14,60,40,0,50,37.5,75,50,25,50,37.5,43.75,36.555911,-121.548995
309SAC,7/23/18,75,100,0,50,25,75,50,75,100,87.5,57.8125,36.555831,-121.549094
309SALBLA,7/22/17,100,100,25,50,50,25,50,100,100,100,62.5,36.708102,-121.749641
309SBR,7/20/18,75,100,0,50,25,75,50,25,100,62.5,54.6875,36.731457,-121.781428
309SEC,9/19/14,0,40,100,50,75,75,100,75,100,87.5,65.9375,36.28074,-121.322687
309SEC,5/22/18,50,100,100,75,62.5,100,100,100,100,100,85.9375,36.280751,-121.322759
309SET,6/5/15,0,0,0,25,12.5,37.5,75,50,0,25,21.875,36.322943,-121.292774
309SET,7/26/18,0,25,0,25,25,50,75,0,75,37.5,29.6875,36.322838,-121.292921
309TDW,7/11/18,0,0,0,0,0,12.5,0,0,25,12.5,3.125,36.772197,-121.787691
309TEH,7/10/17,0,0,0,50,37.5,37.5,25,0,50,25,21.875,36.75932,-121.75487
309TEM,7/11/18,0,0,0,0,12.5,25,25,0,50,25,10.9375,36.765081,-121.759421
309UQA,9/9/14,0,0,0,0,0,0,0,0,50,25,3.125,36.616943,-121.522908
310COO,5/5/16,100,100,100,75,100,100,100,100,100,100,96.875,35.256243,-120.887991
310PRE,11/4/15,75,75,25,25,25,50,25,25,25,25,40.625,35.24751,-120.68166
310SCN,5/20/15,0,25,50,50,25,50,75,75,75,75,43.75,35.280539,-120.668079
310SLB,5/20/15,75,100,100,75,50,62.5,100,75,25,50,76.5625,35.188155,-120.71894
310SLC,11/3/15,0,75,100,50,25,50,75,50,100,75,56.25,35.29355,-120.64437
310SLM,9/16/14,0,0,40,0,0,25,75,0,0,0,17.5,35.279423,-120.664828
310SRO,5/21/15,75,100,50,75,62.5,75,100,100,100,100,79.6875,35.568188,-121.104232
310SRU,5/21/15,75,100,100,50,62.5,75,100,50,75,62.5,78.125,35.568256,-121.065123
310TOR,9/17/14,100,100,40,25,50,75,100,75,75,75,70.625,35.412525,-120.872224
310TWB,9/17/14,100,100,60,50,100,66.7,75,100,100,100,81.4625,35.354387,-120.827733
312CAV,5/12/15,100,100,50,75,100,100,75,100,100,100,87.5,34.688126,-119.358857
312CUT,5/6/15,0,0,0,25,25,25,25,75,75,75,21.875,34.906089,-120.301212
312HUA,5/5/15,75,50,50,50,100,100,100,100,100,100,78.125,35.086868,-120.369492
313SAC,9/16/14,100,100,60,50,100,100,50,100,100,100,82.5,34.790148,-120.610764
314SYI,9/15/14,0,40,60,50,37.5,75,75,50,100,75,51.5625,34.607268,-120.193684
315CAP,5/6/15,100,100,100,75,87.5,100,100,75,75,75,92.1875,34.460546,-120.022659
315CAU,5/13/15,0,0,50,75,25,25,100,25,25,25,37.5,34.401286,-119.487235
315RIN,5/13/15,0,75,75,50,25,25,75,25,25,25,43.75,34.377579,-119.478167
317CHO,9/18/14,0,40,20,0,25,75,25,100,100,100,35.625,35.709835,-120.304822
304RRAPT1,7/11/17,100,100,100,100,100,87.5,75,100,100,100,95.31,37.017817,-121.904343
304RRAPT2,7/11/17,75,100,0,50,37.5,87.5,50,100,75,87.5,60.94,36.97208702,-121.9054362
304RRAPT3,6/23/14,100,100,100,100,100,75,100,75,100,87.5,95.31,37.001405,-121.906196
304RRAPT4,7/11/17,75,100,50,75,100,100,75,100,100,100,84.38,36.97632492,-121.9036944
304RRAPT5,7/11/17,0,100,0,75,62.5,87.5,100,50,50,50,59.38,36.97513781,-121.9019953
304RRAPT6,6/6/17,75,100,0,50,25,37.5,75,100,0,50,51.56,36.973565,-121.903821
304RRAPT7,7/11/17,75,100,100,75,100,87.5,75,100,100,100,89.06,36.997004,-121.868423
304RRAPT8,7/11/17,75,100,25,75,87.5,100,75,25,100,62.5,75,36.974996,-121.898735
304RRBRA1,11/30/15,100,100,100,75,87.5,75,75,75,37.5,56.25,83.59,37.01918,-122.01106
304RRBRA2,11/18/15,100,100,0,100,62.5,50,100,50,100,75,73.44,37.01463765,-122.0111167
304RRBRA4,1/26/16,75,100,25,75,62.5,87.5,100,75,100,87.5,76.56,37.018274,-121.996844
304RRBRA10,11/17/15,100,100,0,75,62.5,62.5,100,75,100,87.5,73.44,37.05842073,-121.9808034
304RRBRA16,11/30/15,100,75,75,75,87.5,62.5,100,75,100,87.5,82.81,37.03894,-121.99648
304RRBRA17,11/17/15,100,100,100,100,100,75,100,100,100,100,96.88,37.03356581,-121.9873505
304RRBRA21,1/26/16,100,100,25,100,50,50,100,100,87.5,93.75,77.34,37.04893477,-121.981232
304RRBRA24,11/17/15,0,50,0,25,50,37.5,75,50,75,62.5,37.5,37.03468715,-121.9968328
304RRBRA25,1/26/16,100,100,0,100,75,75,100,75,100,87.5,79.69,37.02137967,-121.995839
304RRBRA30,1/26/16,25,0,0,25,25,37.5,75,75,75,75,32.81,37.0318157,-121.9830277
304RRBRA32,11/30/15,50,0,25,25,37.5,50,75,50,100,75,42.19,37.02768,-121.9874
304RRBRA35,12/1/15,100,100,50,75,75,50,100,87.5,93.75,90.625,80.08,37.0092,-122.01031
304RRCAR1,6/19/19,75,100,0,25,25,75,75,100,62.5,81.25,57.03,36.986682,-122.01462
304RRBCR1,5/8/17,100,100,100,100,87.5,75,75,75,100,87.5,90.63,37.187607,-122.079781
304RRCAR10,6/19/19,100,100,75,75,87.5,87.5,100,100,100,100,90.63,37.044559,-122.016634
304RRCAR11,6/21/19,100,100,100,100,100,87.5,75,100,100,100,95.31,37.075511,-121.991478
304RRCAR2,6/21/19,75,100,0,50,50,50,75,75,50,62.5,57.81,37.06045,-122.00195
304RRCAR3,6/21/19,75,100,0,75,50,25,75,100,87.5,93.75,61.72,37.047718,-122.015824
304RRCAR4,6/19/19,75,100,50,0,50,75,75,75,75,75,62.5,36.989295,-122.015815
304RRCAR5,6/21/19,75,100,25,50,50,50,75,75,75,75,62.5,37.055427,-122.011035
304RRZAY1,12/8/16,75,100,50,50,25,75,75,100,50,75,65.63,37.06316,-122.0343
304RRZAY2,12/8/16,100,75,75,75,62.5,87.5,75,100,87.5,93.75,80.47,37.06211,-122.01861
304RRZAY4,12/6/16,75,100,0,50,37.5,37.5,75,75,75,75,56.25,37.05648,-122.03256
304RRZAY6,12/9/16,75,100,25,100,37.5,75,75,75,75,75,70.31,37.05524,-122.0407
304RRZAY7,11/16/16,75,100,0,50,50,50,75,75,100,87.5,60.94,37.049569,-122.065417
304RRZAY9,12/8/16,100,100,50,75,62.5,87.5,75,100,50,75,78.13,37.08107,-122.01118
304RRZAY10,12/8/16,100,100,25,50,62.5,100,75,100,100,100,76.56,37.07385,-122.01718
304RRZAY12,12/6/16,100,100,50,100,87.5,100,100,100,100,100,92.19,37.11252,-122.02039
304RRZAY13,12/6/16,100,100,75,100,75,100,100,75,87.5,81.25,91.41,37.1189,-122.01944
304RRZAY14,12/8/16,75,75,50,75,50,50,75,100,87.5,93.75,67.97,37.10482,-122.02649
304RRZAY16,12/9/16,75,75,50,75,50,87.5,75,100,100,100,73.44,37.05993,-122.0583
304RRZAY17,12/6/16,75,100,25,50,50,75,75,100,87.5,93.75,67.97,37.07455,-122.05548
304RRZAY18,12/5/16,75,100,25,75,50,62.5,75,75,87.5,81.25,67.97,37.08191,-122.05055
304RRZAY21,12/6/16,100,100,50,75,50,87.5,100,100,87.5,93.75,82.03,37.09072,-122.043
307RRCAR1,1/28/16,75,100,75,75,75,75,75,100,100,100,81.25,36.52517,-121.83123
307RRCAR10,2/18/16,75,100,25,0,0,50,75,50,100,75,50,36.53331,-121.86893
307RRCAR12,11/24/15,75,100,25,25,37.5,50,75,100,100,100,60.94,36.53034,-121.85781
307RRCAR15,1/8/16,100,100,100,100,100,100,100,100,100,100,100,36.37195,-121.66317
307RRCAR19,1/28/16,100,100,75,50,75,87.5,75,50,100,75,79.69,36.49105,-121.75143
307RRCAR20,1/5/16,0,0,50,50,75,87.5,100,75,25,50,51.56,36.53613,-121.91233
307RRCAR22,1/5/16,100,25,75,100,100,50,50,75,100,87.5,73.44,36.41721,-121.60523
307RRCAR23,3/1/16,75,25,50,25,50,50,75,50,62.5,56.25,50.78,36.5258716,-121.8676867
307RRCAR24,1/5/16,100,100,75,50,100,100,75,75,100,87.5,85.94,36.4863,-121.81029
307RRCAR26,3/1/16,100,100,100,75,62.5,75,100,100,62.5,81.25,86.72,36.45863,-121.73224
307RRCAR32,3/1/16,100,100,100,100,75,75,75,50,100,75,87.5,36.50711815,-121.8522319
307RRCAR33,1/5/16,100,75,75,75,75,62.5,75,50,100,75,76.56,36.47109812,-121.7242966
307RRCAR35,2/18/16,50,100,75,50,87.5,75,100,100,75,87.5,78.13,36.51062,-121.76938
307RRCAR36,1/28/16,0,0,0,25,12.5,25,75,0,0,0,17.19,36.47108,-121.72429
307RRCAR37,1/5/16,100,100,100,100,100,100,75,100,100,100,96.88,36.42935,-121.79154
307RRCAR39,11/24/15,75,100,25,25,25,75,75,100,87.5,93.75,61.72,36.53884,-121.88034
307RRCAR4,1/4/16,100,100,75,75,87.5,75,75,50,100,75,82.81,36.39228,-121.63863
